year,month,day,hour,minute,second,Latitude [DD], Longitude [DD],Altitude [m]
2020,1,16,19,34,31,32.111337,34.808126,52.4
2020,1,16,19,34,46,32.111059,34.807898,51.9
2020,1,16,19,35,17,32.111394,34.808239,51.2
2020,1,16,19,35,32,32.111013,34.807709,52.2
2020,1,16,19,35,48,32.110894,34.807806,50.9
2020,1,16,19,36,3,32.111293,34.808178,49.2
2020,1,16,19,36,34,32.111712,34.808589,52.5
2020,1,16,19,37,4,32.111238,34.807853,54
2020,1,16,19,37,20,32.111303,34.807762,57.5
2020,1,16,19,37,35,32.111521,34.80793,57.2
2020,1,16,19,38,21,32.110457,34.807944,57.4
2020,1,16,19,38,36,32.11124,34.807811,56.6
2020,1,16,19,39,38,32.111252,34.807724,57.4
2020,1,16,19,40,8,32.111131,34.807718,58.9
2020,1,16,19,40,54,32.110805,34.808017,57.8
2020,1,16,19,41,40,32.110898,34.807567,56
2020,1,16,19,42,11,32.111232,34.808157,56.7
2020,1,16,19,42,26,32.110898,34.808066,56.3
2020,1,16,19,45,0,32.111492,34.807818,58.2
2020,1,16,19,45,15,32.110681,34.807468,57.7
2020,1,16,19,45,30,32.111123,34.807623,57
2020,1,16,19,46,1,32.111159,34.807892,56.4
2020,1,16,19,46,16,32.111417,34.808082,58
2020,1,16,19,47,2,32.111264,34.807946,57.3
2020,1,16,19,47,18,32.111515,34.80802,61.7
2020,1,16,19,48,19,32.111862,34.808175,62.6
2020,1,16,19,48,34,32.111082,34.807998,65
2020,1,16,19,52,55,32.111175,34.808052,63.4
2020,1,16,19,53,26,32.110906,34.808017,63.6
2020,1,16,19,53,41,32.110908,34.80815,63.1
2020,1,16,19,54,58,32.111235,34.807896,63
2020,1,16,19,55,28,32.111188,34.807807,61.6
2020,1,16,19,55,44,32.11061,34.807761,61
2020,1,16,19,55,59,32.111283,34.807858,61.1
2020,1,16,19,57,0,32.111123,34.80769,60.5
2020,1,16,20,0,4,32.111324,34.807767,60
2020,1,16,20,1,6,32.1111,34.808027,59.9
2020,1,16,20,1,51,32.111335,34.808149,58.6
2020,1,16,20,2,7,32.110927,34.807999,56.8
2020,1,16,20,2,22,32.110834,34.808013,56.4
2020,1,16,20,2,37,32.110698,34.807966,55.6
2020,1,16,20,3,8,32.110564,34.80791,56.2
2020,1,16,20,3,23,32.110893,34.807943,56
2020,1,16,20,3,54,32.110954,34.807937,55.9
2020,1,16,20,6,58,32.111312,34.807906,55.2
2020,1,16,20,8,15,32.111098,34.807909,55.6
2020,1,16,20,10,18,32.111149,34.807919,56.1
2020,1,16,20,10,33,32.110903,34.8079,56.9
2020,1,16,20,10,48,32.110839,34.807982,55.8
2020,1,16,20,11,4,32.111156,34.807989,56.3
2020,1,16,20,11,19,32.111299,34.807813,58.4
2020,1,16,20,11,34,32.111238,34.808182,58.5
2020,1,16,20,11,50,32.111327,34.807648,58.1
2020,1,16,20,12,5,32.111231,34.807681,57.9
2020,1,16,20,12,51,32.111122,34.807914,57.2
2020,1,16,20,13,22,32.111319,34.807942,57.6
2020,1,16,20,13,52,32.110769,34.808119,58.5
2020,1,16,20,14,38,32.111023,34.80751,58
2020,1,16,20,16,10,32.111004,34.807691,57.7
2020,1,16,20,16,56,32.111415,34.807841,57.7
2020,1,16,20,17,12,32.111208,34.807676,56.9
2020,1,17,1,20,43,32.111167,34.807936,57.3
2020,1,17,1,21,29,32.111806,34.80822,56.6
2020,1,17,1,21,45,32.112027,34.808455,55.5
2020,1,17,1,22,0,32.112,34.808251,55.8
2020,1,17,1,22,15,32.111675,34.808289,53.9
2020,1,17,1,22,46,32.112705,34.808563,54.3
2020,1,17,1,23,1,32.113026,34.808986,53.9
2020,1,17,1,24,18,32.112388,34.808617,52.9
2020,1,17,1,24,49,32.112729,34.808606,54.2
2020,1,17,1,25,4,32.112914,34.808945,54.3
2020,1,17,1,25,20,32.112778,34.808384,54.5
2020,1,17,1,26,6,32.11276,34.808688,56
2020,1,17,1,26,21,32.112794,34.808946,54.1
2020,1,17,1,26,37,32.112999,34.808761,54.4
2020,1,17,1,26,52,32.112639,34.808488,53.8
2020,1,17,1,27,8,32.113029,34.808516,52.6
2020,1,17,1,27,38,32.112611,34.808368,51.7
2020,1,17,1,27,54,32.112631,34.808648,49.6
2020,1,17,1,28,40,32.112309,34.808479,50.9
2020,1,17,1,28,55,32.112665,34.808613,49.9
2020,1,17,1,29,11,32.112764,34.808871,46.7
2020,1,17,1,29,57,32.112837,34.808319,48.8
2020,1,17,1,30,12,32.112666,34.808913,47.3
2020,1,17,1,30,58,32.112755,34.80845,47.9
2020,1,17,1,31,14,32.112412,34.808543,46.5
2020,1,17,1,31,29,32.111545,34.80876,45.6
2020,1,17,1,32,0,32.111559,34.808145,46.3
2020,1,17,1,32,15,32.111143,34.808544,48.7
2020,1,17,1,33,17,32.110983,34.807969,47.4
2020,1,17,1,34,3,32.111426,34.808258,47
2020,1,17,1,34,18,32.111083,34.808374,46.7
2020,1,17,1,34,34,32.111068,34.808142,46.9
2020,1,17,1,35,4,32.111383,34.80827,46.7
2020,1,17,1,35,20,32.111034,34.808286,45.9
2020,1,17,1,35,35,32.111053,34.80797,45.2
2020,1,17,1,36,21,32.111434,34.808467,44.8
2020,1,17,1,36,37,32.111444,34.808217,44.1
2020,1,17,1,36,52,32.111119,34.808195,44.6
2020,1,17,1,38,9,32.111376,34.80861,45.6
2020,1,17,1,38,40,32.110991,34.807863,46.5
2020,1,17,1,39,11,32.111244,34.807988,45.1
2020,1,17,1,39,26,32.11135,34.808279,44.6
2020,1,17,1,40,12,32.110773,34.808158,45
2020,1,17,1,40,28,32.111369,34.808522,44.8
2020,1,17,1,40,43,32.111361,34.808239,43.6
2020,1,17,1,40,58,32.111062,34.808347,43.8
2020,1,17,1,41,14,32.111047,34.808242,44.5
2020,1,17,1,41,29,32.111066,34.808088,44.9
2020,1,17,1,42,0,32.111293,34.808464,44.6
2020,1,17,1,42,15,32.111443,34.808477,44.2
2020,1,17,1,42,31,32.111403,34.808865,43.2
2020,1,17,1,42,46,32.111071,34.808513,44.3
2020,1,17,1,43,47,32.111097,34.807953,43.5
2020,1,17,17,30,5,32.110952,34.808271,43.9
2020,1,17,17,30,20,32.110856,34.808117,45
2020,1,17,17,31,22,32.111424,34.808459,45.4
2020,1,17,17,31,53,32.111226,34.808384,45.7
2020,1,17,17,32,39,32.111226,34.808383,45.3
2020,1,17,17,32,55,32.111089,34.808324,45.2
2020,1,17,17,34,43,32.111479,34.808358,47.6
2020,1,17,17,35,14,32.111374,34.80826,45.5
2020,1,17,17,37,2,32.111205,34.808405,44.6
2020,1,17,17,37,17,32.111357,34.808607,44.2
2020,1,17,17,37,33,32.111304,34.808235,43.9
2020,1,17,17,38,19,32.111381,34.808276,43.9
2020,1,17,17,39,6,32.111228,34.808457,43.9
2020,1,17,17,40,7,32.111242,34.808351,43.5
2020,1,17,17,40,23,32.111429,34.808551,45.6
2020,1,17,17,41,56,32.111402,34.808278,46.1
2020,1,17,17,42,11,32.111292,34.80815,46
2020,1,17,17,42,26,32.111265,34.80824,46.3
2020,1,17,17,42,42,32.111216,34.808095,48.1
2020,1,17,17,43,44,32.111452,34.808147,46.4
2020,1,17,17,43,59,32.111171,34.8085,46.9
2020,1,17,17,44,15,32.110812,34.808796,48.3
2020,1,17,17,45,16,32.111432,34.808234,47.7
2020,1,17,17,45,32,32.111341,34.807998,46.6
2020,1,17,17,46,18,32.111116,34.808364,45.7
2020,1,17,17,46,34,32.111337,34.808338,47.3
2020,1,17,17,46,49,32.111269,34.808035,47.5
2020,1,17,17,47,5,32.111002,34.808299,49
2020,1,17,17,47,20,32.111436,34.80837,46.8
2020,1,17,17,49,39,32.111425,34.808016,46
2020,1,17,17,49,55,32.11067,34.808025,46.1
2020,1,17,17,50,41,32.111288,34.808385,45.1
2020,1,17,17,51,27,32.111634,34.808568,43.9
2020,1,17,17,51,43,32.110663,34.808594,43.4
2020,1,17,17,52,14,32.111177,34.808146,45.2
2020,1,17,17,52,29,32.111521,34.808297,48.8
2020,1,17,17,52,44,32.111228,34.808513,46.9
2020,1,17,17,53,0,32.111491,34.808102,47.4
2020,1,17,17,53,15,32.111429,34.808275,47.6
2020,1,17,17,53,31,32.110724,34.808216,46.8
2020,1,17,17,54,33,32.111593,34.808088,49
2020,1,17,17,55,4,32.111063,34.808093,49.2
2020,1,17,17,55,35,32.111474,34.808416,49.1
2020,1,17,17,55,50,32.111422,34.80835,49.4
2020,1,17,17,56,5,32.111357,34.808262,49
2020,1,17,17,56,21,32.111214,34.808047,48
2020,1,17,17,56,36,32.111394,34.808445,47
2020,1,17,18,0,28,32.111362,34.808275,46.7
2020,1,17,18,0,44,32.111529,34.808456,47.1
2020,1,17,18,0,59,32.111314,34.808205,47.8
2020,1,17,18,1,30,32.111118,34.808047,45.5
2020,1,17,18,1,45,32.111246,34.80832,46.3
2020,1,17,18,2,16,32.111441,34.808073,46
2020,1,17,18,2,32,32.111336,34.808216,47.6
2020,1,17,18,3,18,32.111226,34.808324,47.1
2020,1,17,18,3,34,32.110929,34.808196,46.7
2020,1,17,18,3,49,32.111427,34.808275,45.9
2020,1,17,18,4,20,32.111589,34.808564,44.8
2020,1,17,18,5,6,32.11122,34.808495,45.4
2020,1,17,18,5,22,32.111805,34.808222,45.3
2020,1,17,18,5,37,32.111474,34.808338,45
2020,1,17,18,6,55,32.110736,34.808557,43.7
2020,1,17,18,7,25,32.111328,34.808213,43.7
2020,1,17,18,7,41,32.111238,34.808229,42.5
2020,1,17,18,7,56,32.111067,34.808035,41.9
2020,1,17,18,9,14,32.111492,34.808432,41.6
2020,1,17,18,9,29,32.110855,34.808247,42.7
2020,1,17,18,9,44,32.111211,34.808129,44.2
2020,1,17,18,10,0,32.111316,34.808295,43.9
2020,1,17,18,10,46,32.111519,34.808117,42.2
2020,1,17,18,11,2,32.111301,34.808317,42.1
2020,1,17,18,11,33,32.111266,34.807938,42.6
2020,1,17,18,11,48,32.111184,34.808249,42.3
2020,1,17,18,12,4,32.111496,34.808331,41.9
2020,1,17,18,12,19,32.11142,34.808096,40.9
2020,1,17,18,12,50,32.111383,34.808476,38.4
2020,1,17,18,13,5,32.11168,34.808227,38.1
2020,1,17,18,13,21,32.111581,34.807821,38.1
2020,1,17,18,13,52,32.111149,34.808058,38.6
2020,1,17,18,14,23,32.111317,34.808381,38.6
2020,1,17,18,15,25,32.111429,34.80837,38.1
2020,1,17,18,16,11,32.11138,34.807818,38.9
2020,1,17,18,17,13,32.111076,34.807949,38
2020,1,17,18,17,28,32.111317,34.808219,37.8
2020,1,17,18,19,1,32.111138,34.808258,37.8
2020,1,17,18,19,16,32.111082,34.807756,45.8
2020,1,17,18,22,22,32.111277,34.807459,44.9
2020,1,17,18,23,24,32.111162,34.807825,45.2
2020,1,17,18,23,55,32.110955,34.808125,45.7
2020,1,17,18,24,10,32.110845,34.808117,48.8
2020,1,17,22,50,22,32.110959,34.807898,47.9
2020,1,17,22,50,54,32.111418,34.808142,48.6
2020,1,17,22,51,9,32.111186,34.807375,48.8
2020,1,17,22,51,40,32.111026,34.808258,48.5
2020,1,17,22,51,55,32.111143,34.80811,48.1
2020,1,17,22,52,11,32.110707,34.808098,49.1
2020,1,17,22,52,57,32.111594,34.808355,51.7
2020,1,17,22,53,44,32.111168,34.808008,52.9
2020,1,17,22,53,59,32.110969,34.808136,55.1
2020,1,17,22,54,30,32.111637,34.808114,54
2020,1,17,22,55,1,32.111206,34.808321,53.9
2020,1,17,22,55,17,32.111371,34.808294,53.5
2020,1,17,22,55,32,32.111344,34.808188,52.3
2020,1,17,22,55,48,32.111183,34.808223,51.6
2020,1,17,22,56,3,32.110974,34.808062,50.9
2020,1,17,22,56,19,32.110983,34.808177,50.2
2020,1,17,22,56,34,32.110928,34.807807,50.2
2020,1,17,22,57,21,32.11133,34.808278,49.2
2020,1,17,22,57,36,32.111131,34.808245,48.4
2020,1,17,22,58,54,32.111544,34.808379,47.5
2020,1,17,22,59,9,32.111194,34.807989,48
2020,1,17,22,59,25,32.111051,34.808211,49.4
2020,1,17,22,59,40,32.111393,34.808817,49.1
2020,1,17,22,59,56,32.111295,34.808304,49.3
2020,1,17,23,0,42,32.11122,34.8083,48.1
2020,1,17,23,1,13,32.111319,34.808336,48.9
2020,1,17,23,1,44,32.111121,34.808262,47.5
2020,1,17,23,2,0,32.111409,34.808437,46.9
2020,1,17,23,3,2,32.111102,34.808181,47.1
2020,1,17,23,3,48,32.11118,34.808408,47.7
2020,1,17,23,4,4,32.11147,34.808354,47.9
2020,1,17,23,4,19,32.111502,34.808089,48.8
2020,1,17,23,4,50,32.111224,34.807863,48.7
2020,1,17,23,5,6,32.110933,34.807808,48
2020,1,17,23,5,21,32.111094,34.807958,49.5
2020,1,17,23,5,52,32.111201,34.808375,50.6
2020,1,17,23,6,8,32.111117,34.808322,48.1
2020,1,17,23,6,23,32.111235,34.808407,50.5
2020,1,17,23,6,54,32.111192,34.808174,50.1
2020,1,17,23,7,41,32.111176,34.80836,50.9
2020,1,17,23,7,56,32.111129,34.808149,49.9
2020,1,17,23,8,12,32.111001,34.808302,50.8
2020,1,17,23,8,27,32.111447,34.808056,50.7
2020,1,17,23,9,14,32.111255,34.808259,52.6
2020,1,17,23,10,16,32.111339,34.808003,52.1
2020,1,17,23,11,2,32.111219,34.808301,51.5
2020,1,17,23,11,33,32.111522,34.808355,49.1
2020,1,17,23,12,20,32.11125,34.808134,47.3
2020,1,17,23,12,35,32.111329,34.80833,47.1
2020,1,17,23,12,51,32.111315,34.808372,47.3
2020,1,17,23,13,6,32.111296,34.808212,48.9
2020,1,17,23,13,22,32.111128,34.808078,47.5
2020,1,17,23,13,53,32.111127,34.808465,46.7
2020,1,17,23,14,8,32.111346,34.808094,48.1
2020,1,17,23,14,24,32.11124,34.808328,46.4
2020,1,17,23,14,55,32.111712,34.80858,45.7
2020,1,17,23,15,10,32.111182,34.808237,46.8
2020,1,17,23,15,26,32.111015,34.807955,46.3
2020,1,17,23,15,41,32.111257,34.80829,47.6
2020,1,17,23,15,57,32.111334,34.808187,47.2
2020,1,17,23,17,14,32.111359,34.808137,47.8
